				10/22/2025			10/16/2025			11/5/2025			10/16/2025			10/29/2025			11/5/2025		
	Days	0		Days	285		Days	291		Days	271		Days	291		Days	278		Days	271	
	Healed	0d3		Healed	284d3		Healed	290d3		Healed	270d3		Healed	290d3		Healed	277d3		Healed	270d3	
	Inn Cost	0.5		Inn Cost	0.5		Inn Cost	0.5		Inn Cost	0.5		Inn Cost	0.5		Inn Cost	0.5		Inn Cost	0.5	
	Chests	0		Chests	0		Chests	0		Chests	0		Chests	0		Chests	0		Chests	0	
	Food Cost	0.5		Food Cost	0.5		Food Cost	0.5		Food Cost	0.5		Food Cost	0.5		Food Cost	0.5		Food Cost	0.5	
	Lifestyle Cost	0		Lifestyle Cost	285		Lifestyle Cost	291		Lifestyle Cost	271		Lifestyle Cost	291		Lifestyle Cost	278		Lifestyle Cost	271	
	Animals			Animals			Animals			Animals			Animals			Animals			Animals		
	Number	0		Number	0		Number	0		Number	0		Number	0		Number	0		Number	0	
	Stabling	0.5		Stabling	0.5		Stabling	0.5		Stabling	0.5		Stabling	0.5		Stabling	0.5		Stabling	0.5	
	Animal Cost	0		Animal Cost	0		Animal Cost	0		Animal Cost	0		Animal Cost	0		Animal Cost	0		Animal Cost	0	
	Retainers			Retainers			Retainers			Retainers			Retainers			Retainers			Retainers		
	Number	0		Number	0		Number	0		Number	0		Number	0		Number	0		Number	0	
	Total Wage	0		Total Wage	0		Total Wage	0		Total Wage	0		Total Wage	0		Total Wage	0		Total Wage	0	
	Inn Cost	0.5		Inn Cost	0.5		Inn Cost	0.5		Inn Cost	0.5		Inn Cost	0.5		Inn Cost	0.5		Inn Cost	0.5	
	Food Cost	0.5		Food Cost	0.5		Food Cost	0.5		Food Cost	0.5		Food Cost	0.5		Food Cost	0.5		Food Cost	0.5	
	Retainer Cost	0		Retainer Cost	0		Retainer Cost	0		Retainer Cost	0		Retainer Cost	0		Retainer Cost	0		Retainer Cost	0	
	Cost Per Day	1		Cost Per Day	1		Cost Per Day	1		Cost Per Day	1		Cost Per Day	1		Cost Per Day	1		Cost Per Day	1	
	Total Cost	0 gp		Total Cost	285 gp		Total Cost	291 gp		Total Cost	271 gp		Total Cost	291 gp		Total Cost	278 gp		Total Cost	271 gp	
																					
	Elonia	Beth																			
	Cleric	3																			
	Left the World			Left the World			Left the World			Left the World			Left the World			Left the World			Left the World		
	3/11/2026																				
	Days	145		Days	0		Days	0		Days	0		Days	0		Days	0		Days	0	
	Healed	144d3		Healed	0d3		Healed	0d3		Healed	0d3		Healed	0d3		Healed	0d3		Healed	0d3	
	Inn Cost	0.5		Inn Cost	0.5		Inn Cost	0.5		Inn Cost	0.5		Inn Cost	0.5		Inn Cost	0.5		Inn Cost	0.5	
	Chests	0		Chests	0		Chests	0		Chests	0		Chests	0		Chests	0		Chests	0	
	Food Cost	0.5		Food Cost	0.5		Food Cost	0.5		Food Cost	0.5		Food Cost	0.5		Food Cost	0.5		Food Cost	0.5	
	Lifestyle Cost	145		Lifestyle Cost	0		Lifestyle Cost	0		Lifestyle Cost	0		Lifestyle Cost	0		Lifestyle Cost	0		Lifestyle Cost	0	
	Animals			Animals			Animals			Animals			Animals			Animals			Animals		
	Number	0		Number	0		Number	0		Number	0		Number	0		Number	0		Number	0	
	Stabling	0.5		Stabling	0.5		Stabling	0.5		Stabling	0.5		Stabling	0.5		Stabling	0.5		Stabling	0.5	
	Animal Cost	0		Animal Cost	0		Animal Cost	0		Animal Cost	0		Animal Cost	0		Animal Cost	0		Animal Cost	0	
	Retainers			Retainers			Retainers			Retainers			Retainers			Retainers			Retainers		
	Number	2		Number	0		Number	0		Number	0		Number	0		Number	0		Number	0	
	Total Wage	2		Total Wage	0		Total Wage	0		Total Wage	0		Total Wage	0		Total Wage	0		Total Wage	0	
	Inn Cost	0.5		Inn Cost	0.5		Inn Cost	0.5		Inn Cost	0.5		Inn Cost	0.5		Inn Cost	0.5		Inn Cost	0.5	
	Food Cost	0.5		Food Cost	0.5		Food Cost	0.5		Food Cost	0.5		Food Cost	0.5		Food Cost	0.5		Food Cost	0.5	
	Retainer Cost	580		Retainer Cost	0		Retainer Cost	0		Retainer Cost	0		Retainer Cost	0		Retainer Cost	0		Retainer Cost	0	
	Cost Per Day	5		Cost Per Day	1		Cost Per Day	1		Cost Per Day	1		Cost Per Day	1		Cost Per Day	1		Cost Per Day	1	
	Total Cost	725 gp		Total Cost	0 gp		Total Cost	0 gp		Total Cost	0 gp		Total Cost	0 gp		Total Cost	0 gp		Total Cost	0 gp	
